title,company,location,description,category
Director of Software Engineering,Capital One,"London, UK","White Collar Factory (95009), United Kingdom, London, London Director of Software Engineering About this role We are looking for a Director of Software Engineering to lead a team of 100 engineers. We’re looking for someone who is results-oriented, able to partner with business leaders and go toe-to-toe with the best engineers on technical rigour. You’ll be responsible for all the technologists within a series of our ‘outcome teams’: established to drive forward business outcomes. You’ll be an e…",IT Jobs
Software Engineer,Richmond Square Consulting Limited,"Cheltenham, Gloucestershire","Software Engineer (Rust) Cheltenham / Hybrid / Remote My client is looking for an experienced Software Engineer with strong Rust expertise to join a growing UK technology business delivering secure software and communications solutions into the national defence sector. This is an opportunity to work across live programmes, next-generation product development, and cutting-edge proof-of-concept work, using modern engineering to solve complex real-world challenges. It would suit someone who wants …",IT Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Bocking, Braintree","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Kirby Cross, Frinton-On-Sea","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Nine Ashes, Ingatestone","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Mardy, Abergavenny","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Highwoods, Colchester","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Rivenhall, Witham","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,UK Prog Agency VONQ Direct CPC,"Sible Hedingham, Halstead","Nordson Test & Inspection , a global leader in world-class metrology equipment and inspection systems, is seeking a highly motivated and talented S oftware Engineer to join our AXM team in Colchester , UK . We are committed to creating a diverse and inclusive workplace, and we are looking for candidates who share that same commitment. Summary of the role As a member of our software team, you will have the opportunity to work in a dynamic and collaborative environment, where your ideas and contr…",Engineering Jobs
Software Engineer,ATA Recruitment,"Widnes, Cheshire","PLC Software Engineer – Industrial Automation (Material Handling & Controls) Location: North West UK (must be based in the region) Type: 6-Month Contract → Permanent (Full-time) Salary: £60,000 – £80,000 On-site: 5 days per week (38 hours) with global travel required About the Role We are seeking an experienced PLC Software Engineer to join a specialist engineering team delivering advanced automated material handling systems used in aviation security environments worldwide. This is a hands-on r…",Engineering Jobs
